	subNum	gain_betas	loss_betas	lambdas
305	305	0.09044281712525024	-0.441107244850647	-4.877194882593907
307	307	0.7024657554166721	-1.020103571288322	-1.4521755166317551
309	309	0.19603781199411566	-0.42022733994699013	-2.1436035001227407
310	310	0.6174395817451922	-0.6952057898872019	-1.1259495024957804
311	311	1.6782700294182877	-1.6782747756543757	-1.0000028280527
312	312	0.36713918988663885	-0.6692766984897907	-1.8229508505927752
402	402			
403	403	0.13764020403805577	-0.6900840300388414	-5.013680667372753
405	405	0.2816367732227571	-0.3633377351315296	-1.2900933744335727
406	406	0.31585130797111916	-0.4003294762635666	-1.2674618282732328
407	407	0.04915224491424685	-2.1571750642174687	-43.88762035144011
410	410	0.47139477591140044	-0.40576178068763935	-0.8607685138282123
411	411	0.41551729875036325	-1.2525640205219204	-3.0144690107702172
412	412	0.39470473368784265	-0.9542053032899239	-2.417516745681012
500	500	0.5720703072255564	-0.4116204824672553	-0.7195277875258804
502	502	0.14871459858976233	-1.1616469957843842	-7.811250588712232
503	503	0.6311668809640616	-1.1694324160269627	-1.8528101700151622
504	504	1.2177992532297828	-1.262237312415756	-1.0364904634882284
505	505	0.33122784044965903	-1.1802888077444498	-3.5633744015664455
506	506	0.9592377462084632	-1.9395430142919543	-2.0219627740446
507	507	0.7400030314026662	-0.9257821120006315	-1.2510517831877304
508	508	-1.779854217294659e-16	0.046436717796095095	-260901805017929.66
509	509	0.5926607153874994	-1.4411835096769783	-2.431717629090177
510	510	0.4359561252230237	-0.5652858770723617	-1.2966577239468222
512	512			
515	515	0.24763366674185078	-1.0996747817944106	-4.440732135751081
516	516	0.6452804784015111	-0.05887106030669663	-0.09123328889870033
517	517	0.6299815037089743	-2.817000952089849	-4.471561364111395
518	518	0.4971707918543873	-0.48645751845302726	-0.9784515229436532
519	519	0.6320975037776945	-0.3587962444583093	-0.5676280040879519
520	520	0.13269840617231976	-0.6465734203760284	-4.8725032879174135
522	522	0.20463009839071983	-3.2136189317749726	-15.704527129918603
523	523	0.5673891154119248	-0.9297576485816657	-1.63865964877853
524	524	0.577735925406958	-0.22431180745114346	-0.3882600987521036
525	525	0.157800900657188	-0.8125555599331055	-5.1492453880116225
526	526	0.4016155934679047	-0.6203269064322604	-1.5445787377820879
528	528	0.266214460911353	-2.078832742391272	-7.808864835045548
529	529	0.44815689830478367	-0.8963137966095673	-2.0
530	530	0.8269272448292303	-1.868321985837354	-2.259354734675822
531	531	0.9585022387068459	-3.281719495519645	-3.4237995103142853
532	532	0.517886676030224	-1.5092648078517532	-2.9142761876416228
533	533	0.19436640484076878	-1.4787586565643844	-7.608098003231738
534	534	0.4619205274111565	-1.1718049965509851	-2.5368108300325845
